"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"2","Adrada Ecologica Sl","CALLE SUBIDA A LA ERMITA, 3",41.59423865,-3.82462547,"14/11/2000","1102 - Elaboración de vinos","EL CULTIVO DE LA AGRICULTURA ECOLOGICA, ASI COMO LA TRANSFORMACION Y COMERCIALIZACION DE DICHOS PRODUCTOS LA ELABORACION Y CRIANZA DE VINOS, MOSTOS Y DERIVADOS, ALCOHOLICOS O NO, ASI COMO SU EMBOTELLADO Y COMERCIALIZACIO","Menor de 300 mil €","2017: 
2018: 31,91 %
2019: -43,24 %","-","Administrador:  JESUS L...
 MARIA TERESA P...:  JESUS L...","Administrador: Administrador
 MARIA TERESA P...: Administrador","947531096","Activa","-","-","-","NO","No constan","84.000 €","-","-","Positivo Consultar","Adrada de Haza"
"11","Bodegas Tarsus Sa","CARRETERA ROA, -A ANGUIX AKM 3",41.753478,-3.931921,"09/01/1998","1102 - Elaboración de vinos","Explotación de bodega.","Entre 0,6 y 1,5 millones €","2017: 
2018: 6,9 %
2019: 18,79 %","Entre 5 y 25","2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %","943445700","Activa","-","-","-","NO","No constan","1.502.500 €","6 (año 2020)","2020","Positivo Consultar","Anguix"
"12","Bodegas Los Astrales Sl","CALLE ASUNCION, 2",41.75374103,-3.93294857,"14/05/2001","1102 - Elaboración de vinos","LA EXPLOTACION AGRICOLA AMPLIAMENTE CONSIDERADA Y EL COMERCIO DE PRODUCTOS AGRICOLAS, ABONOS, PLANTAS, FLORES Y SEMILLAS. LA FABRICACION, ELABORACION Y COMERCIALIZACION DE PRODUCTOS VITIVINICOLAS. LA ADQUISICION DE BIENE","Entre 0,6 y 1,5 millones €","2016: 
2017: 11,54 %
2018: -18,79 %","Entre 5 y 25","2015: 100,00 %
2016: 100,00 %
2017: 83,33 %
2018: 83,33 %","2015: 0 %
2016: 0 %
2017: 16,66 %
2018: 16,66 %","947554222","Activa","http://www.astrales.es","- -","https://www.facebook.com/AstralesOficial/, https://twitter.com/bodegaastrales, https://www.instagram.com/bodegas_astrales/","NO","No constan","288.119,4 €","6 (año 2018)","2018","Positivo Consultar","Anguix"
"13","Bodegas Y Viñedos Gallego Zapatero Sl","PLAZA OLMA, 4",41.75220341,-3.93174715,"15/07/2005","1102 - Elaboración de vinos","LA ELABORACION Y CRIANZA DE TODO TIPO DE VINOS CON O SIN DENOMINACION DE ORIGEN, ASI COMO SU COMERCIALIZACION Y DISTRIBUCION. EXPLOTACIONES AGRICOLAS DE VINEDOS Y CEREALES","Menor de 300 mil €","2016: 
2017: 22,18 %
2018: 12,16 %","Menos de 5","2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %","2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %","947554042","Activa","http://www.bodegayotuel.es","-","-","NO","No constan","384.000 €","1 (año 2018)","2018","Positivo Consultar","Anguix"
"14","Valtoñar Sl","CARRETERA ROA (KM 5)",41.753478,-3.931921,"07/01/2004","1102 - Elaboración de vinos","LA PRODUCCION TRANSFORMACION Y COMERCIALIZACION DE PRODUCTOS AGROPECUARIAS","Menor de 300 mil €","2017: 
2018: -0,34 %
2019: 23,34 %","-","Administrador Único:  SATURNINO FELIX R...","-","-","Activa","-","-","-","NO","No constan","1.125.000 €","-","-","Positivo Consultar","Anguix"
"15","Viñedos Reimark Iii Millenium Sl  (extinguida)","TRAVESIA CANEVILLA, 3",41.754247,-3.933033,"03/12/1999","1102 - Elaboración de vinos","LA REALIZACION DE TODO TIPO DE TRABAJOS EN EXPLOTACIONES AGRARIAS Y LA TRANSFORMACION Y COMERCIALIZACION DE PRODUCTOS AGRICOLAS Y AGROALIMENTICIOS, ESPECIALMENTE CULTIVOS DE VINEDO Y OTROS TRABAJOS ACCESORIOS, ASI COMO L","-","-","-","-","-","-","Extinguida","-","-","-","NO","No constan","12.000 €","-","-","Negativo Consultar","Anguix"
"27","Viñedos Y Bodegas De Anguix Sl  (extinguida)","LUGAR PARAJE LA TEJERA, 1",0,0,"07/09/1999","1102 - Elaboración de vinos","TODO LO RELACIONADO CON LA ELABORACION, PRODUCCION, DISTRIBUCION Y VENTA AL POR MAYOR Y MENOR, EN ESPANA O EN EL EXTRANJERO DE TODO TIPO DE BEBIDAS Y PRODUCTOS DE ALIMENTACION. LA EXPLOTACION DE NEGOCIOS RELACIONADAS CON","-","-","-","-","-","-","Extinguida","-","-","-","NO","No constan","4.000 €","-","-","Positivo Consultar","Anguix"
"29","Cepas Familiares Sl.","CARRETERA ROA, 7",41.753465,-3.931934,"16/11/2018","1102 - Elaboración de vinos","La elaboración de vinos. Labores de plantación, siembra, cultivo, recolección, transporte y tratamiento agrícola de tierras y productos agrícolas en general y vinícolas en particular. Elaboración, comercialización, crianza y reserva de toda clase de vinos con uva propia o ajena","-","Administrador Único:  MARCOS D...","-","-","-","-","Activa","-","-","-","NO","No constan","3.000 €","-","-","-","Anguix"
"72","Bodegas Peñalba Lopez Sl","LUGAR TORREMILANOS, S/N - FINCA TORREMILANOS",41.679609,-3.704863,"31/12/1986","1102 - Elaboración de vinos","Elaboración, crianza, comercialización de vinos con denominación de origen, Ribera de Duero y Cava, además de explotación de hotel.","Entre 3 y 6 millones €","2016: 
2017: 19,29 %
2018: 2,33 %
2019:  %","Entre 25 y 50","2014: 87,50 %
2015: 86,84 %
2016: 79,48 %
2017: 80,48 %
2018: 80,48 %","2014: 12,50 %
2015: 13,15 %
2016: 20,51 %
2017: 19,51 %
2018: 19,51 %","947501381","Activa","http://www.torremilanos.com","Descubre Finca Torremilanos. Más de un siglo de historia y respeto por nuestro viñedo, que cultivamos de manera biodinánica, dando lugar a unos vinos D.O Ribera del Duero únicos y especiales. Unos vinos biodinámicos Ribera del Duero que te sorprenderán -","https://www.facebook.com/hoteltorremilanos/, https://www.instagram.com/torremilanos/","NO","Importa y Exporta","3.960.571,97 €","45 (año 2020)","2020","Positivo Consultar","Aranda de Duero"
"92","Dominio De Cair Sl","CARRETERA ARANDA (KM 9)",41.679609,-3.704863,"26/03/2009","1102 - Elaboración de vinos","EXPLOTACION Y DESARROLLO DE FINCAS EN SUS VERTIENTES AGRICOLA Y VITICOLA, ASI COMO SU COMERCIALIZACION. ADQUISICION DE FINCAS Y SU ARRENDAMIENTO. PRESTACION DE SERVICIOS DE ASISTENCIA TECNICA Y ASESORAMIENTO QUE GUARDEN","Entre 1,5 y 3 millones €","2016: 
2017: -0,82 %
2018: 8,45 %","Entre 5 y 25","2014: 100,00 %
2015: 85,71 %
2016: 100,00 %
2017: 88,88 %
2018: 100,00 %","2014: 0 %
2015: 14,28 %
2016: 0 %
2017: 11,11 %
2018: 0 %","947545276","Activa","http://www.dominiodecair.com","Fruto del carácter inquieto del bodeguero Juan Luis Cañas nace Dominio de Cair, un nuevo reto que se resume en un fin, hacer grandes vinos en una tierra excepcional, la Ribera del Duero. Bodega, Ribera de Duero, vino, enoturismo, Luis Cañas, tempranillo, Merlot, winebar, Crianza, Dominio de Cair, Tierras de Cair, Cair Cuvée, ","https://www.facebook.com/pages/Bodega-Dominio-de-Cair/360603777349599?fref=ts, https://twitter.com/dominiodecair, https://twitter.com/DominioDeCair?ref_src=twsrc%5Etfw","NO","Exporta","10.576.000 €","9 (año 2018)","2018","Positivo Consultar","Aranda de Duero"
